"action","old_path","new_path","sha256","bytes","reason"
"moved","trixig redesign/trixig_print/for_bambu/lanyard_strap.stl","cad/print/trixig_redesign/for_bambu/lanyard_strap.stl","24698a50bfc52968a6194925721bf1dada4da5bb217cab5a423a8ba7f89bb75e","30084","move_print_asset"
"moved","trixig redesign/trixig_print/trixig_buildplate.stl_6.stl","cad/print/trixig_redesign/trixig_buildplate_stl_6.stl","d51b14513b526489a7e43138c16e60f32c99c8f79d5c5107ebe88f24615ebe88","24684","move_print_asset"
"moved","trixig redesign/trixig_print/trixig_buildplate.stl_7.stl","cad/print/trixig_redesign/trixig_buildplate_stl_7.stl","5605d396a40dc966e1556a48697bbb143817c581cd26e55bdfe001211a9aa275","30084","move_print_asset"
"moved","trixig redesign/trixig_print/for_bambu/screw_M3x12_01.stl","cad/print/trixig_redesign/for_bambu/screw_m3x12_01.stl","70bbedd29a726ad1a703cd3ffa00adfadae58bfad1d8803d9d2b8a5101758a69","31584","move_print_asset"
"moved","trixig redesign/trixig_print/for_bambu/screw_M3x12_02.stl","cad/print/trixig_redesign/for_bambu/screw_m3x12_02.stl","723568a8e13e3c98abbd10b7e453d6c3710ffef96a10e186c5925a909ea74974","31884","move_print_asset"
"moved","trixig redesign/trixig_print/for_bambu/screw_M3x12_03.stl","cad/print/trixig_redesign/for_bambu/screw_m3x12_03.stl","3ec9849006f83fb2c25763ccaeff0ae5ea33ffca7076e6e4a061469b7ed84041","31584","move_print_asset"
"moved","trixig redesign/trixig_print/for_bambu/screw_M3x12_04.stl","cad/print/trixig_redesign/for_bambu/screw_m3x12_04.stl","5c8e7201662834d19a4ecd4ec709c5d1185ef2b62311f90b85f1fa587cf3bfd2","31384","move_print_asset"
"moved","trixig redesign/trixig_print/for_bambu/screw_M3x12_05.stl","cad/print/trixig_redesign/for_bambu/screw_m3x12_05.stl","f895136c53b55f231ae7bc06fbd0556c29dd9f9b4e7fab4046e6f4e4ff170d45","31484","move_print_asset"
"moved","trixig redesign/trixig_print/for_bambu/screw_M3x12_06.stl","cad/print/trixig_redesign/for_bambu/screw_m3x12_06.stl","b3e18ebf72c70ee9fffba0d34308295bf74a24e83c082aacabfe30e4b238e07b","32084","move_print_asset"
"moved","trixig redesign/trixig_print/for_bambu/trigger_button.stl","cad/print/trixig_redesign/for_bambu/trigger_button.stl","a5b9fe0569f39a00f1f5ec32fc8251f967951add969b67c5876ccc6712cf2ec4","28884","move_print_asset"
